Estadísticas Climatológicas Normales - período 1981-2010													
													
Se deja constancia que la información vertida en el presente informe puede sufrir variaciones debido a los procesos de consistencia y depuración a los que es sometida la misma													
S/D: Sin Dato													
													
Estación	Valor Medio de	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic
LA QUIACA OBS.	Temperatura (°C)	12.8	12.5	12.4	10.9	6.9	4.4	4.1	6.7	9.3	11.7	12.8	13.2
LA QUIACA OBS.	Temperatura máxima (°C)	20.1	19.9	19.9	19.7	17.3	15.6	15.4	17.4	19.2	21.1	21.7	21.3
LA QUIACA OBS.	Temperatura mínima (°C)	7.4	7.0	6.3	2.8	-3.0	-6.2	-6.8	-4.2	-1.1	2.8	5.2	6.9
LA QUIACA OBS.	Humedad relativa (%)	65.3	64.1	62.4	48.2	34.6	31.1	30.1	31.7	34.4	45.3	52.3	59.2
LA QUIACA OBS.	Velocidad del Viento (km/h)	6.9	7.1	6.5	6.4	6.0	4.9	6.6	6.6	8.6	8.7	8.8	8.3
LA QUIACA OBS.	Nubosidad total (octavos)	5.2	4.8	4.1	2.7	1.8	1.6	1.4	1.6	2.0	3.0	3.6	4.5
LA QUIACA OBS.	Precipitación (mm)	97.5	68.4	55.9	8.2	1.0	0.5	0.0	1.4	3.5	16.0	27.3	71.9
LA QUIACA OBS.	Frecuencia de días con Precipitación superior a 0.1 mm	15.9	12.2	9.8	2.4	0.3	0.1	0.0	0.4	0.9	3.5	7.4	12.7
ORÁN AERO	Temperatura (°C)	S/D	25.1	23.9	20.9	17.7	15.0	14.7	17.2	20.1	23.8	25.0	26.0
ORÁN AERO	Temperatura máxima (°C)	32.3	31.1	29.4	26.0	23.2	21.2	22.0	25.6	28.3	31.5	32.0	32.6
ORÁN AERO	Temperatura mínima (°C)	21.5	20.8	20.5	17.8	14.2	11.0	9.2	11.0	13.5	17.9	19.5	21.2
ORÁN AERO	Humedad relativa (%)	S/D	S/D	83.6	85.3	83.8	82.3	75.4	67.3	59.1	62.5	69.6	74.7
ORÁN AERO	Velocidad del Viento (km/h)	8.4	8.4	6.9	6.4	6.2	6.8	7.7	8.2	9.1	9.2	9.6	8.6
ORÁN AERO	Nubosidad total (octavos)	S/D	S/D	5.7	6.0	5.6	5.1	4.0	3.5	3.9	4.6	5.0	5.3
ORÁN AERO	Precipitación (mm)	216.6	183.7	184.2	70.9	19.8	6.3	4.5	5.4	16.3	60.0	108.1	170.1
ORÁN AERO	Frecuencia de días con Precipitación superior a 0.1 mm	14.3	12.9	15.3	12.0	6.6	3.9	2.8	2.2	3.2	7.1	10.4	12.9
TARTAGAL AERO	Temperatura (°C)	25.2	24.4	S/D	20.2	17.2	14.9	14.6	17.4	20.2	23.9	24.6	25.3
TARTAGAL AERO	Temperatura máxima (°C)	31.7	30.7	29.1	25.5	22.7	21.0	22.1	25.5	28.2	31.4	31.7	32.0
TARTAGAL AERO	Temperatura mínima (°C)	20.6	20.0	19.6	17.0	13.2	10.7	9.1	10.6	13.2	17.5	18.8	20.3
TARTAGAL AERO	Humedad relativa (%)	78.5	S/D	S/D	85.0	83.5	80.8	71.9	62.0	55.1	60.1	67.1	74.4
TARTAGAL AERO	Velocidad del Viento (km/h)	6.1	5.9	5.2	4.7	4.6	4.6	5.6	6.7	7.3	8.1	8.6	7.1
TARTAGAL AERO	Nubosidad total (octavos)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
TARTAGAL AERO	Precipitación (mm)	200.2	182.8	187.7	65.3	22.0	6.7	3.6	5.1	15.1	45.0	110.0	176.4
TARTAGAL AERO	Frecuencia de días con Precipitación superior a 0.1 mm	11.6	11.1	11.7	10.5	5.9	3.6	2.2	1.7	2.4	5.1	9.0	11.4
JUJUY AERO	Temperatura (°C)	23.6	22.5	21.4	18.3	14.8	12.2	11.9	15.0	17.8	21.7	23.0	23.8
JUJUY AERO	Temperatura máxima (°C)	30.0	28.8	27.2	24.0	21.3	19.7	20.3	23.3	25.7	29.0	29.9	30.5
JUJUY AERO	Temperatura mínima (°C)	18.3	17.5	17.1	14.0	10.0	6.8	5.8	8.2	10.6	14.8	16.7	18.0
JUJUY AERO	Humedad relativa (%)	74.4	77.7	82.0	82.4	79.7	76.7	68.0	58.7	52.3	56.0	62.0	68.8
JUJUY AERO	Velocidad del Viento (km/h)	8.2	8.3	7.3	7.1	7.4	7.3	9.2	10.3	11.0	10.7	10.2	8.9
JUJUY AERO	Nubosidad total (octavos)	5.3	5.2	5.4	5.3	4.7	4.1	3.2	3.1	3.4	4.1	4.5	5.0
JUJUY AERO	Precipitación (mm)	153.2	152.9	138.9	49.4	11.6	2.8	3.4	3.1	5.4	28.1	61.1	130.4
JUJUY AERO	Frecuencia de días con Precipitación superior a 0.1 mm	13.4	12.5	14.1	8.7	3.9	2.0	2.3	1.6	1.9	4.8	7.8	11.6
SALTA AERO	Temperatura (°C)	21.4	20.3	19.5	16.6	13.1	10.6	10.1	12.7	15.1	19.1	20.5	21.5
SALTA AERO	Temperatura máxima (°C)	27.4	26.4	25.2	22.7	20.3	19.6	20.0	22.3	23.9	26.8	27.5	28.0
SALTA AERO	Temperatura mínima (°C)	16.6	15.7	15.3	11.9	7.6	4.1	2.9	4.9	7.3	11.8	14.1	15.9
SALTA AERO	Humedad relativa (%)	78.2	81.0	83.7	82.9	80.5	75.5	69.1	62.8	58.2	61.2	67.1	73.1
SALTA AERO	Velocidad del Viento (km/h)	6.8	6.5	5.8	5.8	6.3	6.1	6.9	7.5	7.9	9.0	8.7	7.7
SALTA AERO	Nubosidad total (octavos)	5.9	5.8	5.9	5.6	5.0	4.2	3.3	3.2	3.5	4.4	5.0	5.5
SALTA AERO	Precipitación (mm)	192.6	154.2	110.6	33.0	8.0	1.5	3.9	3.8	7.6	25.1	62.2	145.6
SALTA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	16.3	14.8	14.2	7.9	3.9	1.6	2.1	2.1	2.7	5.7	9.5	14.0
LAS LOMITAS	Temperatura (°C)	27.9	26.8	25.8	22.5	18.8	16.9	16.6	19.1	21.2	24.6	25.9	27.3
LAS LOMITAS	Temperatura máxima (°C)	35.1	33.8	32.8	28.8	25.4	23.4	24.1	27.1	29.1	32.2	33.2	34.4
LAS LOMITAS	Temperatura mínima (°C)	21.7	21.1	20.3	17.5	13.7	11.8	10.4	12.2	14.2	17.8	19.3	20.9
LAS LOMITAS	Humedad relativa (%)	69.3	72.2	75.2	79.4	79.9	79.3	71.3	62.8	60.5	62.7	65.9	68.2
LAS LOMITAS	Velocidad del Viento (km/h)	5.4	7.0	6.0	5.9	5.8	5.3	6.9	8.6	8.7	9.4	9.9	8.2
LAS LOMITAS	Nubosidad total (octavos)	4.0	3.9	3.5	4.2	4.1	4.4	3.5	3.1	3.5	3.7	3.7	3.8
LAS LOMITAS	Precipitación (mm)	142.4	116.7	160.4	84.6	57.5	18.6	13.1	16.1	30.4	72.5	119.0	132.6
LAS LOMITAS	Frecuencia de días con Precipitación superior a 0.1 mm	8.8	9.2	9.9	9.3	7.1	6.0	3.9	2.9	4.4	7.3	8.7	8.8
IGUAZÚ AERO	Temperatura (°C)	25.6	24.9	24.2	21.4	17.6	15.9	15.7	17.6	19.1	21.9	23.5	25.0
IGUAZÚ AERO	Temperatura máxima (°C)	31.8	31.2	30.7	27.5	23.5	21.7	22.2	24.7	25.8	28.3	30.1	31.4
IGUAZÚ AERO	Temperatura mínima (°C)	20.5	20.2	19.3	16.8	13.1	11.7	10.8	12.2	13.7	16.5	17.8	19.5
IGUAZÚ AERO	Humedad relativa (%)	78.1	80.4	79.7	83.7	86.5	88.1	83.6	78.5	76.4	77.3	74.9	75.7
IGUAZÚ AERO	Velocidad del Viento (km/h)	6.4	6.3	5.3	6.1	6.4	6.2	7.4	8.4	8.8	7.4	7.5	6.6
IGUAZÚ AERO	Nubosidad total (octavos)	4.2	4.3	3.6	3.7	3.6	4.0	3.4	3.5	4.0	4.1	3.7	3.9
IGUAZÚ AERO	Precipitación (mm)	177.7	154.7	126.5	169.1	192.7	148.3	115.8	94.2	160.3	237.0	186.3	186.9
IGUAZÚ AERO	Frecuencia de días con Precipitación superior a 0.1 mm	10.3	10.2	8.1	8.9	8.8	8.6	8.3	6.8	9.6	11.6	9.4	9.9
TUCUMÁN AERO	Temperatura (°C)	25.2	24.0	22.6	19.2	15.7	12.7	12.2	14.9	17.8	21.8	23.4	24.9
TUCUMÁN AERO	Temperatura máxima (°C)	31.0	29.7	27.9	24.6	21.2	18.6	19.3	22.8	25.4	28.9	29.9	30.8
TUCUMÁN AERO	Temperatura mínima (°C)	20.1	19.3	18.5	15.1	11.4	8.2	6.8	8.5	11.0	15.2	17.5	19.3
TUCUMÁN AERO	Humedad relativa (%)	74.2	76.8	81.0	81.2	80.3	78.9	70.9	62.1	58.4	61.5	67.1	70.8
TUCUMÁN AERO	Velocidad del Viento (km/h)	11.6	11.3	10.0	9.6	9.4	9.7	10.7	11.2	11.8	12.2	12.0	11.1
TUCUMÁN AERO	Nubosidad total (octavos)	5.0	5.1	5.2	5.1	4.7	4.6	3.4	3.3	3.5	4.2	4.7	4.8
