# J  E(1/cm)
 0 2248.988
 1 2245.342
 2 2241.666
 3 2236.061
 4 2233.319
 5 2230.456
 6 2227.564
 7 2224.641
 8 2221.688
 9 2218.675
10 2215.631
11 2209.424
12 2206.290
13 2203.096
14 2199.842
15 2196.588
16 2193.273
17 2189.928
18 2186.554
19 2183.149
20 2179.683
21 2176.218
22 2172.693
23 2169.107
24 2165.521
25 2161.875
26 2158.229
27 2154.523
28 2150.787
29 2147.020
30 2143.977
31 2139.336
32 2135.479
33 2131.562
34 2127.615
35 2123.607
36 2119.600
37 2115.562
38 2111.464
39 2107.336
40 2103.208
41 2099.019
42 2094.801
43 2090.522
44 2086.243
45 2081.934
46 2077.565
47 2073.196
48 2068.766
49 2064.337
50 2055.327
51 2050.777
52 2046.197
53 2041.617
54 2037.489
55 2033.361
56 2029.172
57 2024.954
58 2020.705
59 2016.457
60 2012.871
61 2008.321
62 2003.409
