Mes;Tipo de cambio nominal promedio mensual
March-02; 2,3989     
April-02; 2,8551     
May-02; 3,3287     
June-02; 3,6213     
July-02; 3,6071     
August-02; 3,6207     
September-02; 3,6431     
October-02; 3,6519     
November-02; 3,5256     
December-02; 3,4902     
January-03; 3,2582     
February-03; 3,1632     
March-03; 3,0747     
April-03; 2,8946     
May-03; 2,8357     
June-03; 2,8089     
July-03; 2,8013     
August-03; 2,9285     
September-03; 2,9209     
October-03; 2,8591     
November-03; 2,8839     
December-03; 2,9606     
January-04; 2,8928     
February-04; 2,9319     
March-04; 2,8976     
April-04; 2,8359     
May-04; 2,9197     
June-04; 2,9603     
July-04; 2,9552     
August-04; 3,0136     
September-04; 2,9960     
October-04; 2,9692     
November-04; 2,9546     
December-04; 2,9709     
January-05; 2,9460     
February-05; 2,9153     
March-05; 2,9266     
April-05; 2,9004     
May-05; 2,8909     
June-05; 2,8836     
July-05; 2,8696     
August-05; 2,8880     
September-05; 2,9117     
October-05; 2,9660     
November-05; 2,9672     
December-05; 3,0145     
January-06; 3,0460     
February-06; 3,0689     
March-06; 3,0763     
April-06; 3,0663     
May-06; 3,0535     
June-06; 3,0813     
July-06; 3,0820     
August-06; 3,0790     
September-06; 3,1001     
October-06; 3,0985     
November-06; 3,0757     
December-06; 3,0603     
January-07; 3,0850     
February-07; 3,1026     
March-07; 3,1010     
April-07; 3,0891     
May-07; 3,0800     
June-07; 3,0793     
July-07; 3,1116     
August-07; 3,1524     
September-07; 3,1475     
October-07; 3,1604     
November-07; 3,1359     
December-07; 3,1397     
January-08; 3,1444     
February-08; 3,1583     
March-08; 3,1558     
April-08; 3,1665     
May-08; 3,1511     
June-08; 3,0434     
July-08; 3,0223     
August-08; 3,0333     
September-08; 3,0824     
October-08; 3,2385     
November-08; 3,3292     
December-08; 3,4226     
Enero-09; 3,4640     
Febrero-09; 3,5115     
Marzo-09; 3,6540     
abril-09; 3,6934     
mayo-09; 3,7245     
junio-09; 3,7681     
julio-09; 3,8097     
agosto-09; 3,8392     
septiembre-09; 3,8424     
octubre-09; 3,8262     
November-09; 3,8110     
December-09; 3,8070     
January-10; 3,8042     
February-10; 3,8512     
March-10; 3,8627     
April-10; 3,8761     
May-10; 3,9020     
June-10; 3,9265     
July-10; 3,9348     
August-10; 3,9376     
September-10; 3,9519     
October-10; 3,9570     
November-10; 3,9676     
December-10; 3,9776     
January-11; 3,9813     
February-11; 4,0220     
March-11; 4,0372     
April-11; 4,0655     
May-11; 4,0839     
June-11; 4,0960     
July-11; 4,1276     
August-11; 4,1680     
September-11; 4,2042     
October-11; 4,2221     
November-11; 4,2601     
December-11; 4,2888     
January-12; 4,3206     
February-12; 4,3463     
March-12; 4,3563     
April-12; 4,3978     
May-12; 4,4504     
June-12; 4,4978     
July-12; 4,5528     
August-12; 4,6098     
September-12; 4,6699     
October-12; 4,7299     
November-12; 4,7974     
December-12; 4,8800     
January-13; 4,9486     
February-13; 5,0111     
March-13; 5,0840     
April-13; 5,1555     
May-13; 5,2399     
June-13; 5,3292     
July-13; 5,4409     
August-13; 5,5814     
September-13; 5,7371     
October-13; 5,8482     
November-13; 6,0149     
December-13; 6,3192     
