#   x           teo           exp
0.0000000e+00 0.0000000e+00 0.0000000e+00
1.0507000e-02 1.1576170e-05 1.4544540e-05
2.1014000e-02 9.2052870e-05 7.5934893e-05
3.1521000e-02 3.0756500e-04 1.8990066e-04
4.2028000e-02 7.1879320e-04 6.1217896e-04
5.2534990e-02 1.3784280e-03 1.2133173e-03
6.3041990e-02 2.3288570e-03 9.5734774e-04
7.3548990e-02 3.6001450e-03 3.5780825e-03
8.4055990e-02 5.2083560e-03 4.4485492e-03
9.4562990e-02 7.1542820e-03 4.0745517e-03
1.0507000e-01 9.4226030e-03 6.3166483e-03
1.1557700e-01 1.1981520e-02 1.1278465e-02
1.2608400e-01 1.4782880e-02 6.4699646e-03
1.3659100e-01 1.7762740e-02 2.3723101e-02
1.4709800e-01 2.0842540e-02 1.8887417e-02
1.5760500e-01 2.3930540e-02 3.3923206e-02
1.6811200e-01 2.6923910e-02 3.1763495e-02
1.7861900e-01 2.9711040e-02 4.3794668e-02
1.8912600e-01 3.2174250e-02 3.1786675e-02
1.9963300e-01 3.4192780e-02 1.0567398e-02
2.1014000e-01 3.5645980e-02 5.3744911e-02
2.2064700e-01 3.6416600e-02 3.6373826e-02
2.3115400e-01 3.6394170e-02 6.6770593e-02
2.4166100e-01 3.5478290e-02 3.5391694e-02
2.5216800e-01 3.3581880e-02 2.6505232e-02
2.6267500e-01 3.0634130e-02 5.0532073e-02
2.7318200e-01 2.6583280e-02 2.2429939e-02
2.8368900e-01 2.1398960e-02 4.5307398e-02
2.9419600e-01 1.5074190e-02 1.5419379e-02
3.0470300e-01 7.6268420e-03 7.8068575e-03
3.1521000e-01 -8.9938380e-04 -1.1121873e-03
3.2571700e-01 -1.0434520e-02 -1.7467535e-02
3.3622400e-01 -2.0882490e-02 -1.1368340e-02
3.4673100e-01 -3.2121900e-02 -3.8144327e-02
3.5723800e-01 -4.4007310e-02 -4.7986865e-02
3.6774500e-01 -5.6371160e-02 -5.2764885e-02
3.7825200e-01 -6.9026250e-02 -7.3630978e-02
3.8875900e-01 -8.1768630e-02 -1.1791420e-01
3.9926600e-01 -9.4381040e-02 -4.2627627e-02
4.0977300e-01 -1.0663670e-01 -1.6745160e-01
4.2028000e-01 -1.1830320e-01 -2.0292981e-01
4.3078700e-01 -1.2914740e-01 -1.0421670e-01
4.4129400e-01 -1.3893900e-01 -1.1155793e-01
4.5180100e-01 -1.4745600e-01 -2.8938218e-02
4.6230790e-01 -1.5448870e-01 -2.0791277e-02
4.7281490e-01 -1.5984390e-01 -2.0570498e-01
4.8332190e-01 -1.6334960e-01 -1.6970238e-01
4.9382890e-01 -1.6485840e-01 -1.8206322e-01
5.0433590e-01 -1.6425120e-01 -1.0876797e-01
5.1484290e-01 -1.6144000e-01 -1.5200155e-01
5.2534990e-01 -1.5637040e-01 -1.7357228e-01
5.3585690e-01 -1.4902390e-01 -5.6505194e-02
5.4636390e-01 -1.3941830e-01 -2.0981122e-01
5.5687090e-01 -1.2760920e-01 -1.9719868e-01
5.6737790e-01 -1.1368920e-01 -1.2284714e-01
5.7788490e-01 -9.7787550e-02 -7.1270563e-02
5.8839190e-01 -8.0068670e-02 -6.2009643e-02
5.9889890e-01 -6.0729790e-02 -3.7945211e-02
6.0940590e-01 -3.9998420e-02 -8.9043504e-02
6.1991290e-01 -1.8129030e-02 -3.7448616e-02
6.3041990e-01 4.6008130e-03 8.3366387e-03
6.4092690e-01 2.7894700e-02 2.0258976e-02
6.5143390e-01 5.1442000e-02 8.2542563e-02
6.6194090e-01 7.4922800e-02 9.9874912e-02
6.7244790e-01 9.8013050e-02 1.7332833e-01
6.8295490e-01 1.2038980e-01 8.8978257e-02
6.9346190e-01 1.4173620e-01 1.1511753e-01
7.0396890e-01 1.6174730e-01 2.9158298e-01
7.1447590e-01 1.8013430e-01 9.1703049e-02
7.2498290e-01 1.9662960e-01 2.2760101e-01
7.3548990e-01 2.1099130e-01 2.4062981e-01
7.4599690e-01 2.2300670e-01 3.0542991e-01
7.5650390e-01 2.3249640e-01 2.7066996e-02
7.6701090e-01 2.3931660e-01 2.9102548e-01
7.7751790e-01 2.4336170e-01 2.0033121e-01
7.8802490e-01 2.4456580e-01 1.2932687e-01
7.9853190e-01 2.4290370e-01 1.9719102e-01
8.0903890e-01 2.3839150e-01 9.6346200e-02
8.1954590e-01 2.3108580e-01 2.6573009e-01
8.3005290e-01 2.2108310e-01 3.2616028e-01
8.4055990e-01 2.0851750e-01 1.4764295e-01
8.5106690e-01 1.9355930e-01 1.7030237e-01
8.6157390e-01 1.7641140e-01 8.3612425e-02
8.7208090e-01 1.5730650e-01 8.8160471e-02
8.8258790e-01 1.3650290e-01 6.3023446e-02
8.9309490e-01 1.1428060e-01 1.6513854e-01
9.0360190e-01 9.0936830e-02 7.9261403e-02
9.1410890e-01 6.6781450e-02 1.0002458e-01
9.2461590e-01 4.2131940e-02 6.7961429e-02
9.3512290e-01 1.7308770e-02 1.5513451e-02
9.4562990e-01 -7.3695480e-03 -9.9986425e-03
9.5613690e-01 -3.1591070e-02 -2.4646144e-02
9.6664390e-01 -5.5055000e-02 -2.1043294e-02
9.7715090e-01 -7.7475910e-02 -1.2688787e-01
9.8765790e-01 -9.8587700e-02 -1.0270828e-01
9.9816490e-01 -1.1814720e-01 -1.0537893e-01
1.0086720e+00 -1.3593710e-01 -1.4934466e-01
1.0191790e+00 -1.5176880e-01 -1.2931829e-01
1.0296860e+00 -1.6548460e-01 -3.0518543e-01
1.0401930e+00 -1.7695910e-01 -2.3748163e-01
1.0507000e+00 -1.8610030e-01 -1.2370163e-01
1.0612070e+00 -1.9285030e-01 -3.5081186e-01
1.0717140e+00 -1.9718510e-01 -1.8844512e-01
1.0822210e+00 -1.9911430e-01 -2.4139119e-01
1.0927280e+00 -1.9867980e-01 -3.0454864e-01
1.1032350e+00 -1.9595430e-01 -1.0797434e-01
1.1137420e+00 -1.9103960e-01 -1.8119443e-01
1.1242490e+00 -1.8406410e-01 -3.2107668e-01
1.1347560e+00 -1.7518010e-01 -1.6032791e-01
1.1452630e+00 -1.6456090e-01 -1.0034663e-01
1.1557700e+00 -1.5239780e-01 -1.3093878e-01
1.1662770e+00 -1.3889640e-01 -6.6595552e-02
1.1767840e+00 -1.2427350e-01 -1.0153906e-01
1.1872910e+00 -1.0875320e-01 -1.3852480e-01
1.1977980e+00 -9.2564110e-02 -1.0587578e-01
1.2083050e+00 -7.5935010e-02 -9.3475108e-02
1.2188120e+00 -5.9092230e-02 -6.1732730e-02
1.2293190e+00 -4.2256250e-02 -3.5384552e-02
1.2398260e+00 -2.5638760e-02 -3.2980986e-02
1.2503330e+00 -9.4400360e-03 -9.0685773e-03
1.2608400e+00 6.1535060e-03 7.4079879e-03
1.2713470e+00 2.0971400e-02 2.0008107e-02
1.2818540e+00 3.4860890e-02 2.5836687e-02
1.2923610e+00 4.7688370e-02 8.0361539e-02
1.3028680e+00 5.9340460e-02 7.0189889e-02
1.3133750e+00 6.9724710e-02 9.9047104e-02
1.3238820e+00 7.8770010e-02 8.8612219e-02
1.3343890e+00 8.6426590e-02 1.3777012e-01
1.3448960e+00 9.2665780e-02 1.2701672e-02
1.3554030e+00 9.7479370e-02 5.1635482e-02
1.3659100e+00 1.0087880e-01 2.5225823e-02
1.3764170e+00 1.0289390e-01 1.0331215e-01
1.3869240e+00 1.0357170e-01 4.8275377e-02
1.3974310e+00 1.0297500e-01 1.1764092e-01
1.4079380e+00 1.0118020e-01 3.7974732e-02
1.4184450e+00 9.8276080e-02 1.0097603e-01
1.4289520e+00 9.4361390e-02 9.7001014e-02
1.4394590e+00 8.9543240e-02 8.9089645e-02
1.4499660e+00 8.3934980e-02 2.1030431e-02
1.4604730e+00 7.7654240e-02 3.3398640e-02
1.4709800e+00 7.0821020e-02 1.4297268e-01
1.4814870e+00 6.3555850e-02 9.5197301e-02
1.4919940e+00 5.5978060e-02 6.6435287e-02
1.5025010e+00 4.8204090e-02 4.1717109e-02
1.5130080e+00 4.0346050e-02 8.8590867e-02
1.5235150e+00 3.2510310e-02 4.0900704e-02
1.5340220e+00 2.4796420e-02 3.7715895e-02
1.5445290e+00 1.7296000e-02 1.8688667e-02
1.5550360e+00 1.0091980e-02 4.0377964e-03
1.5655430e+00 3.2579500e-03 4.5181007e-03
1.5760500e+00 -3.1423250e-03 -1.7223540e-03
1.5865570e+00 -9.0551800e-03 -1.0084556e-02
1.5970640e+00 -1.4437160e-02 -1.4807323e-02
1.6075710e+00 -1.9254990e-02 -3.8252216e-02
1.6180780e+00 -2.3485370e-02 -1.1737716e-02
1.6285850e+00 -2.7114630e-02 -4.0205940e-02
1.6390920e+00 -3.0138300e-02 -1.9899472e-02
1.6495990e+00 -3.2560550e-02 -5.4851679e-02
1.6601060e+00 -3.4393490e-02 -6.4613138e-02
1.6706130e+00 -3.5656490e-02 -3.1025204e-02
1.6811200e+00 -3.6375360e-02 -2.5235477e-02
1.6916270e+00 -3.6581530e-02 -5.8080090e-02
1.7021340e+00 -3.6311190e-02 -2.3340665e-02
1.7126410e+00 -3.5604420e-02 -2.6833807e-02
1.7231480e+00 -3.4504340e-02 -1.6784858e-02
1.7336550e+00 -3.3056220e-02 -6.3102761e-02
1.7441620e+00 -3.1306710e-02 -5.0086758e-02
1.7546690e+00 -2.9303030e-02 -3.5564460e-02
1.7651760e+00 -2.7092260e-02 -1.8308998e-02
1.7756830e+00 -2.4720640e-02 -1.7868692e-02
1.7861900e+00 -2.2232990e-02 -1.9256412e-02
1.7966970e+00 -1.9672150e-02 -1.0621993e-02
1.8072040e+00 -1.7078530e-02 -1.6865919e-02
1.8177110e+00 -1.4489690e-02 -1.6053323e-02
1.8282180e+00 -1.1940040e-02 -1.5552715e-02
1.8387250e+00 -9.4605810e-03 -5.0449184e-03
1.8492320e+00 -7.0787290e-03 -7.9973205e-03
1.8597390e+00 -4.8182190e-03 -4.6494499e-03
1.8702460e+00 -2.6990520e-03 -2.8588766e-03
1.8807530e+00 -7.3752090e-04 -1.3291539e-03
1.8912600e+00 1.0537230e-03 1.4023432e-03
1.9017670e+00 2.6655410e-03 2.3951835e-03
1.9122740e+00 4.0921410e-03 4.1956854e-03
1.9227810e+00 5.3308780e-03 5.5812988e-03
1.9332880e+00 6.3820130e-03 8.0876784e-03
1.9437950e+00 7.2484570e-03 8.3165318e-03
1.9543020e+00 7.9354930e-03 1.1342991e-02
1.9648090e+00 8.4504860e-03 -7.3506094e-04
1.9753160e+00 8.8025880e-03 6.6603331e-03
1.9858230e+00 9.0024360e-03 1.4076367e-02
1.9963300e+00 9.0618640e-03 8.4886304e-03
2.0068370e+00 8.9936110e-03 5.6284999e-03
2.0173440e+00 8.8110490e-03 1.1026347e-02
2.0278510e+00 8.5279270e-03 9.0033219e-03
2.0383580e+00 8.1581240e-03 1.0653761e-02
2.0488650e+00 7.7154340e-03 1.1304628e-02
2.0593720e+00 7.2133640e-03 4.3227446e-03
2.0698790e+00 6.6649570e-03 5.3516683e-03
2.0803860e+00 6.0826450e-03 3.3797817e-03
2.0908930e+00 5.4781160e-03 -2.2766655e-04
2.1014000e+00 4.8622140e-03 3.2952549e-03
2.1119070e+00 4.2448530e-03 5.9389039e-03
2.1224140e+00 3.6349660e-03 3.9416332e-03
2.1329210e+00 3.0404620e-03 3.8021737e-03
2.1434280e+00 2.4682100e-03 2.6153746e-03
2.1539350e+00 1.9240390e-03 6.3315477e-04
2.1644420e+00 1.4127580e-03 5.0641699e-04
2.1749490e+00 9.3818370e-04 1.3957685e-03
2.1854560e+00 5.0318520e-04 5.7030380e-04
2.1959630e+00 1.0973910e-04 1.5209089e-04
2.2064700e+00 -2.4100790e-04 -3.6606161e-04
2.2169770e+00 -5.4867000e-04 -5.1597104e-04
2.2274840e+00 -8.1354700e-04 -4.4581890e-04
2.2379910e+00 -1.0365480e-03 -1.3376468e-03
2.2484980e+00 -1.2191090e-03 -2.3913320e-03
2.2590050e+00 -1.3631200e-03 -5.2394099e-04
2.2695120e+00 -1.4708400e-03 -1.8304370e-03
2.2800190e+00 -1.5448260e-03 -2.3409025e-03
2.2905260e+00 -1.5878580e-03 -8.3255580e-04
2.3010330e+00 -1.6028720e-03 -1.6672885e-03
