#    x         f(x)
0.000000e+00 0.000000e+00
1.050700e-02 1.157617e-05
2.101400e-02 9.205287e-05
3.152100e-02 3.075650e-04
4.202800e-02 7.187932e-04
5.253499e-02 1.378428e-03
6.304199e-02 2.328857e-03
7.354899e-02 3.600145e-03
8.405599e-02 5.208356e-03
9.456299e-02 7.154282e-03
1.050700e-01 9.422603e-03
1.155770e-01 1.198152e-02
1.260840e-01 1.478288e-02
1.365910e-01 1.776274e-02
1.470980e-01 2.084254e-02
1.576050e-01 2.393054e-02
1.681120e-01 2.692391e-02
1.786190e-01 2.971104e-02
1.891260e-01 3.217425e-02
1.996330e-01 3.419278e-02
2.101400e-01 3.564598e-02
2.206470e-01 3.641660e-02
2.311540e-01 3.639417e-02
2.416610e-01 3.547829e-02
2.521680e-01 3.358188e-02
2.626750e-01 3.063413e-02
2.731820e-01 2.658328e-02
2.836890e-01 2.139896e-02
2.941960e-01 1.507419e-02
3.047030e-01 7.626842e-03
3.152100e-01 -8.993838e-04
3.257170e-01 -1.043452e-02
3.362240e-01 -2.088249e-02
3.467310e-01 -3.212190e-02
3.572380e-01 -4.400731e-02
3.677450e-01 -5.637116e-02
3.782520e-01 -6.902625e-02
3.887590e-01 -8.176863e-02
3.992660e-01 -9.438104e-02
4.097730e-01 -1.066367e-01
4.202800e-01 -1.183032e-01
4.307870e-01 -1.291474e-01
4.412940e-01 -1.389390e-01
4.518010e-01 -1.474560e-01
4.623079e-01 -1.544887e-01
4.728149e-01 -1.598439e-01
4.833219e-01 -1.633496e-01
4.938289e-01 -1.648584e-01
5.043359e-01 -1.642512e-01
5.148429e-01 -1.614400e-01
5.253499e-01 -1.563704e-01
5.358569e-01 -1.490239e-01
5.463639e-01 -1.394183e-01
5.568709e-01 -1.276092e-01
5.673779e-01 -1.136892e-01
5.778849e-01 -9.778755e-02
5.883919e-01 -8.006867e-02
5.988989e-01 -6.072979e-02
6.094059e-01 -3.999842e-02
6.199129e-01 -1.812903e-02
6.304199e-01 4.600813e-03
6.409269e-01 2.789470e-02
6.514339e-01 5.144200e-02
6.619409e-01 7.492280e-02
6.724479e-01 9.801305e-02
6.829549e-01 1.203898e-01
6.934619e-01 1.417362e-01
7.039689e-01 1.617473e-01
7.144759e-01 1.801343e-01
7.249829e-01 1.966296e-01
7.354899e-01 2.109913e-01
7.459969e-01 2.230067e-01
7.565039e-01 2.324964e-01
7.670109e-01 2.393166e-01
7.775179e-01 2.433617e-01
7.880249e-01 2.445658e-01
7.985319e-01 2.429037e-01
8.090389e-01 2.383915e-01
8.195459e-01 2.310858e-01
8.300529e-01 2.210831e-01
8.405599e-01 2.085175e-01
8.510669e-01 1.935593e-01
8.615739e-01 1.764114e-01
8.720809e-01 1.573065e-01
8.825879e-01 1.365029e-01
8.930949e-01 1.142806e-01
9.036019e-01 9.093683e-02
9.141089e-01 6.678145e-02
9.246159e-01 4.213194e-02
9.351229e-01 1.730877e-02
9.456299e-01 -7.369548e-03
9.561369e-01 -3.159107e-02
9.666439e-01 -5.505500e-02
9.771509e-01 -7.747591e-02
9.876579e-01 -9.858770e-02
9.981649e-01 -1.181472e-01
1.008672e+00 -1.359371e-01
1.019179e+00 -1.517688e-01
1.029686e+00 -1.654846e-01
1.040193e+00 -1.769591e-01
1.050700e+00 -1.861003e-01
1.061207e+00 -1.928503e-01
1.071714e+00 -1.971851e-01
1.082221e+00 -1.991143e-01
1.092728e+00 -1.986798e-01
1.103235e+00 -1.959543e-01
1.113742e+00 -1.910396e-01
1.124249e+00 -1.840641e-01
1.134756e+00 -1.751801e-01
1.145263e+00 -1.645609e-01
1.155770e+00 -1.523978e-01
1.166277e+00 -1.388964e-01
1.176784e+00 -1.242735e-01
1.187291e+00 -1.087532e-01
1.197798e+00 -9.256411e-02
1.208305e+00 -7.593501e-02
1.218812e+00 -5.909223e-02
1.229319e+00 -4.225625e-02
1.239826e+00 -2.563876e-02
1.250333e+00 -9.440036e-03
1.260840e+00 6.153506e-03
1.271347e+00 2.097140e-02
1.281854e+00 3.486089e-02
1.292361e+00 4.768837e-02
1.302868e+00 5.934046e-02
1.313375e+00 6.972471e-02
1.323882e+00 7.877001e-02
1.334389e+00 8.642659e-02
1.344896e+00 9.266578e-02
1.355403e+00 9.747937e-02
1.365910e+00 1.008788e-01
1.376417e+00 1.028939e-01
1.386924e+00 1.035717e-01
1.397431e+00 1.029750e-01
1.407938e+00 1.011802e-01
1.418445e+00 9.827608e-02
1.428952e+00 9.436139e-02
1.439459e+00 8.954324e-02
1.449966e+00 8.393498e-02
1.460473e+00 7.765424e-02
1.470980e+00 7.082102e-02
1.481487e+00 6.355585e-02
1.491994e+00 5.597806e-02
1.502501e+00 4.820409e-02
1.513008e+00 4.034605e-02
1.523515e+00 3.251031e-02
1.534022e+00 2.479642e-02
1.544529e+00 1.729600e-02
1.555036e+00 1.009198e-02
1.565543e+00 3.257950e-03
1.576050e+00 -3.142325e-03
1.586557e+00 -9.055180e-03
1.597064e+00 -1.443716e-02
1.607571e+00 -1.925499e-02
1.618078e+00 -2.348537e-02
1.628585e+00 -2.711463e-02
1.639092e+00 -3.013830e-02
1.649599e+00 -3.256055e-02
1.660106e+00 -3.439349e-02
1.670613e+00 -3.565649e-02
1.681120e+00 -3.637536e-02
1.691627e+00 -3.658153e-02
1.702134e+00 -3.631119e-02
1.712641e+00 -3.560442e-02
1.723148e+00 -3.450434e-02
1.733655e+00 -3.305622e-02
1.744162e+00 -3.130671e-02
1.754669e+00 -2.930303e-02
1.765176e+00 -2.709226e-02
1.775683e+00 -2.472064e-02
1.786190e+00 -2.223299e-02
1.796697e+00 -1.967215e-02
1.807204e+00 -1.707853e-02
1.817711e+00 -1.448969e-02
1.828218e+00 -1.194004e-02
1.838725e+00 -9.460581e-03
1.849232e+00 -7.078729e-03
1.859739e+00 -4.818219e-03
1.870246e+00 -2.699052e-03
1.880753e+00 -7.375209e-04
1.891260e+00 1.053723e-03
1.901767e+00 2.665541e-03
1.912274e+00 4.092141e-03
1.922781e+00 5.330878e-03
1.933288e+00 6.382013e-03
1.943795e+00 7.248457e-03
1.954302e+00 7.935493e-03
1.964809e+00 8.450486e-03
1.975316e+00 8.802588e-03
1.985823e+00 9.002436e-03
1.996330e+00 9.061864e-03
2.006837e+00 8.993611e-03
2.017344e+00 8.811049e-03
2.027851e+00 8.527927e-03
2.038358e+00 8.158124e-03
2.048865e+00 7.715434e-03
2.059372e+00 7.213364e-03
2.069879e+00 6.664957e-03
2.080386e+00 6.082645e-03
2.090893e+00 5.478116e-03
2.101400e+00 4.862214e-03
2.111907e+00 4.244853e-03
2.122414e+00 3.634966e-03
2.132921e+00 3.040462e-03
2.143428e+00 2.468210e-03
2.153935e+00 1.924039e-03
2.164442e+00 1.412758e-03
2.174949e+00 9.381837e-04
2.185456e+00 5.031852e-04
2.195963e+00 1.097391e-04
2.206470e+00 -2.410079e-04
2.216977e+00 -5.486700e-04
2.227484e+00 -8.135470e-04
2.237991e+00 -1.036548e-03
2.248498e+00 -1.219109e-03
2.259005e+00 -1.363120e-03
2.269512e+00 -1.470840e-03
2.280019e+00 -1.544826e-03
2.290526e+00 -1.587858e-03
2.301033e+00 -1.602872e-03
2.311540e+00 -1.592899e-03
2.322047e+00 -1.561003e-03
2.332554e+00 -1.510233e-03
2.343061e+00 -1.443573e-03
2.353568e+00 -1.363907e-03
2.364075e+00 -1.273981e-03
2.374582e+00 -1.176377e-03
2.385089e+00 -1.073493e-03
2.395596e+00 -9.675213e-04
2.406103e+00 -8.604436e-04
2.416610e+00 -7.540202e-04
2.427117e+00 -6.497894e-04
2.437624e+00 -5.490692e-04
2.448131e+00 -4.529622e-04
2.458638e+00 -3.623640e-04
2.469145e+00 -2.779737e-04
2.479652e+00 -2.003062e-04
2.490159e+00 -1.297066e-04
2.500666e+00 -6.636521e-05
2.511173e+00 -1.033346e-05
2.521680e+00 3.845959e-05
2.532187e+00 8.019107e-05
2.542694e+00 1.151281e-04
2.553201e+00 1.436121e-04
2.563708e+00 1.660441e-04
2.574215e+00 1.828701e-04
2.584722e+00 1.945686e-04
2.595229e+00 2.016383e-04
2.605736e+00 2.045872e-04
2.616243e+00 2.039231e-04
2.626750e+00 2.001453e-04
2.637257e+00 1.937374e-04
2.647764e+00 1.851612e-04
2.658271e+00 1.748519e-04
2.668778e+00 1.632146e-04
2.679285e+00 1.506210e-04
2.689792e+00 1.374083e-04
2.700299e+00 1.238776e-04
2.710806e+00 1.102940e-04
2.721313e+00 9.688669e-05
2.731820e+00 8.385047e-05
2.742327e+00 7.134665e-05
2.752834e+00 5.950512e-05
2.763341e+00 4.842647e-05
2.773848e+00 3.818425e-05
2.784355e+00 2.882755e-05
